"module","module_content_number","multi_omics_num","include_genes","genes","include_metabolites","metabolites","include_pathways","pathways"
"Functional_module_322",1,1,TRUE,"GLIPR2",FALSE,NA,FALSE,NA
"Functional_module_323",1,1,TRUE,"GLRX",FALSE,NA,FALSE,NA
"Functional_module_324",1,1,TRUE,"GNG5",FALSE,NA,FALSE,NA
"Functional_module_325",1,1,TRUE,"GNPTG",FALSE,NA,FALSE,NA
"Functional_module_326",1,1,TRUE,"GOLM1",FALSE,NA,FALSE,NA
"Functional_module_327",1,1,TRUE,"GOSR2",FALSE,NA,FALSE,NA
"Functional_module_328",1,1,TRUE,"GPD2",FALSE,NA,FALSE,NA
"Functional_module_329",1,1,TRUE,"GPR153",FALSE,NA,FALSE,NA
"Functional_module_33",1,1,TRUE,"ANO10",FALSE,NA,FALSE,NA
"Functional_module_330",1,1,TRUE,"GPR68",FALSE,NA,FALSE,NA
"Functional_module_331",1,1,TRUE,"GPR85",FALSE,NA,FALSE,NA
"Functional_module_332",1,1,TRUE,"GRB10",FALSE,NA,FALSE,NA
"Functional_module_333",1,1,TRUE,"GRIN2C",FALSE,NA,FALSE,NA
"Functional_module_334",1,1,TRUE,"GRTP1",FALSE,NA,FALSE,NA
"Functional_module_335",1,1,TRUE,"GSDMD",FALSE,NA,FALSE,NA
"Functional_module_336",1,1,TRUE,"GSTM2",FALSE,NA,FALSE,NA
"Functional_module_337",1,1,TRUE,"GSTO1",FALSE,NA,FALSE,NA
"Functional_module_338",1,1,TRUE,"GSTP1",FALSE,NA,FALSE,NA
"Functional_module_339",1,1,TRUE,"HABP4",FALSE,NA,FALSE,NA
"Functional_module_34",1,1,TRUE,"ANXA3",FALSE,NA,FALSE,NA
"Functional_module_340",1,1,TRUE,"HARBI1",FALSE,NA,FALSE,NA
"Functional_module_341",3,1,TRUE,"HBA/SCN1B/SCN9A",FALSE,NA,FALSE,NA
"Functional_module_342",1,1,TRUE,"HBA1",FALSE,NA,FALSE,NA
"Functional_module_343",1,1,TRUE,"HBG",FALSE,NA,FALSE,NA
"Functional_module_344",1,1,TRUE,"HCN3",FALSE,NA,FALSE,NA
"Functional_module_345",1,1,TRUE,"HDAC11",FALSE,NA,FALSE,NA
"Functional_module_346",1,1,TRUE,"HDAC5",FALSE,NA,FALSE,NA
"Functional_module_347",1,1,TRUE,"HDGFL3",FALSE,NA,FALSE,NA
"Functional_module_348",1,1,TRUE,"HEXD",FALSE,NA,FALSE,NA
"Functional_module_349",1,1,TRUE,"HHAT",FALSE,NA,FALSE,NA
"Functional_module_35",1,1,TRUE,"ANXA4",FALSE,NA,FALSE,NA
"Functional_module_350",1,1,TRUE,"HID1",FALSE,NA,FALSE,NA
"Functional_module_351",1,1,TRUE,"HINT2",FALSE,NA,FALSE,NA
"Functional_module_352",1,1,TRUE,"HIPK2",FALSE,NA,FALSE,NA
"Functional_module_353",1,1,TRUE,"HOPX",FALSE,NA,FALSE,NA
"Functional_module_354",1,1,TRUE,"HPCAL1",FALSE,NA,FALSE,NA
"Functional_module_355",1,1,TRUE,"HPRT1",FALSE,NA,FALSE,NA
"Functional_module_356",1,1,TRUE,"HPX",FALSE,NA,FALSE,NA
"Functional_module_357",1,1,TRUE,"HS6ST1",FALSE,NA,FALSE,NA
"Functional_module_358",1,1,TRUE,"HSD17B14",FALSE,NA,FALSE,NA
"Functional_module_359",1,1,TRUE,"HTRA1",FALSE,NA,FALSE,NA
"Functional_module_36",7,1,TRUE,"AP1G2/AP1S1/AP2A2/AP2M1/AP5B1/AP5S1/NCALD",FALSE,NA,FALSE,NA
"Functional_module_360",1,1,TRUE,"ICA1",FALSE,NA,FALSE,NA
"Functional_module_361",13,2,TRUE,"IDH1/IDH3B/MVK/PEX11B/PEX11G/PEX26/PMVK/PRDX5",FALSE,NA,TRUE,"GO:0005777/GO:0005782/GO:0042579/GO:0072562/hsa04146"
"Functional_module_362",1,1,TRUE,"IDS",FALSE,NA,FALSE,NA
"Functional_module_363",1,1,TRUE,"IGKC",FALSE,NA,FALSE,NA
"Functional_module_364",1,1,TRUE,"IGSF1",FALSE,NA,FALSE,NA
"Functional_module_365",1,1,TRUE,"IL17RC",FALSE,NA,FALSE,NA
"Functional_module_366",1,1,TRUE,"IL18BP",FALSE,NA,FALSE,NA
"Functional_module_367",1,1,TRUE,"INF2",FALSE,NA,FALSE,NA
"Functional_module_368",2,1,TRUE,"INPP4A/INPP5J",FALSE,NA,FALSE,NA
"Functional_module_369",1,1,TRUE,"INTS9",FALSE,NA,FALSE,NA
"Functional_module_37",2,1,TRUE,"APC2/NKD1",FALSE,NA,FALSE,NA
"Functional_module_370",1,1,TRUE,"IQCE",FALSE,NA,FALSE,NA
"Functional_module_371",1,1,TRUE,"IQSEC1",FALSE,NA,FALSE,NA
"Functional_module_372",1,1,TRUE,"ISCU",FALSE,NA,FALSE,NA
"Functional_module_373",1,1,TRUE,"ISM1",FALSE,NA,FALSE,NA
"Functional_module_374",1,1,TRUE,"ISOC2",FALSE,NA,FALSE,NA
"Functional_module_375",1,1,TRUE,"ITPK1",FALSE,NA,FALSE,NA
"Functional_module_376",1,1,TRUE,"ITPRID2",FALSE,NA,FALSE,NA
"Functional_module_377",1,1,TRUE,"JAKMIP2",FALSE,NA,FALSE,NA
"Functional_module_378",1,1,TRUE,"JOSD2",FALSE,NA,FALSE,NA
"Functional_module_379",1,1,TRUE,"KAZN",FALSE,NA,FALSE,NA
"Functional_module_38",1,1,TRUE,"APEH",FALSE,NA,FALSE,NA
"Functional_module_380",1,1,TRUE,"KCND3",FALSE,NA,FALSE,NA
